ObjectSimulationId,ObjectQuestionId,Area,QuestionStem,Letter,Description,Correct
3855,34884,Processo Penal,"&lt;p&gt;Joel está sendo processado por crime de estelionato na Vara Criminal da Comarca de Estoril. Na peça de resposta à acusação, o Dr. Roberto, advogado de Joel, arrolou 03 (três) testemunhas. Dentre elas, estava Olinto Silva, residente na Comarca de Vieiras.&lt;br/&gt;O juízo da Vara Criminal da Comarca de Estoril determinou a expedição de carta precatória ao juízo da Vara Criminal da Comarca de Vieiras com a finalidade de ser ouvido Olinto Silva, notificando o Promotor de Justiça e o Defensor Público.&lt;br/&gt;Na Vara Criminal da Comarca de Vieiras, o juiz designou a audiência para oitiva de Olinto Silva, notificando somente o Ministério Público, não obstante haver Defensor Público na comarca.&lt;br/&gt;Realizada a oitiva de Olinto Silva, a deprecata foi devolvida ao Juízo da Vara Criminal da Comarca de Estoril.&lt;br/&gt;Recebida a carta precatória, o Dr. Roberto tomou ciência do seu cumprimento.&lt;br/&gt;Assinale a opção que apresenta a providência que o advogado de Joel deve tomar em sua defesa.&lt;br/&gt;&lt;/p&gt;",A,"&lt;p&gt;&lt;span style=""font-size: 13px;float: none;""&gt;Requerer ao Juízo da Vara Criminal da Comarca de Estoril a declaração de nulidade da audiência de oitiva de Olinto Silva, que se deu na Vara Criminal da Comarca de Vieiras, por ter sido realizado aquele ato processual sem a intimação do Defensor Público.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",0
3855,34884,Processo Penal,"&lt;p&gt;Joel está sendo processado por crime de estelionato na Vara Criminal da Comarca de Estoril. Na peça de resposta à acusação, o Dr. Roberto, advogado de Joel, arrolou 03 (três) testemunhas. Dentre elas, estava Olinto Silva, residente na Comarca de Vieiras.&lt;br/&gt;O juízo da Vara Criminal da Comarca de Estoril determinou a expedição de carta precatória ao juízo da Vara Criminal da Comarca de Vieiras com a finalidade de ser ouvido Olinto Silva, notificando o Promotor de Justiça e o Defensor Público.&lt;br/&gt;Na Vara Criminal da Comarca de Vieiras, o juiz designou a audiência para oitiva de Olinto Silva, notificando somente o Ministério Público, não obstante haver Defensor Público na comarca.&lt;br/&gt;Realizada a oitiva de Olinto Silva, a deprecata foi devolvida ao Juízo da Vara Criminal da Comarca de Estoril.&lt;br/&gt;Recebida a carta precatória, o Dr. Roberto tomou ciência do seu cumprimento.&lt;br/&gt;Assinale a opção que apresenta a providência que o advogado de Joel deve tomar em sua defesa.&lt;br/&gt;&lt;/p&gt;",B,"&lt;p&gt;&lt;span style=""font-size: 13px;float: none;""&gt;Requerer ao Juízo da Vara Criminal da Comarca de Vieiras a declaração de nulidade da audiência de oitiva de Olinto Silva, em razão de ter ocorrido aquele ato processual sem que tenha sido intimado como advogado de Joel.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",0
3855,34884,Processo Penal,"&lt;p&gt;Joel está sendo processado por crime de estelionato na Vara Criminal da Comarca de Estoril. Na peça de resposta à acusação, o Dr. Roberto, advogado de Joel, arrolou 03 (três) testemunhas. Dentre elas, estava Olinto Silva, residente na Comarca de Vieiras.&lt;br/&gt;O juízo da Vara Criminal da Comarca de Estoril determinou a expedição de carta precatória ao juízo da Vara Criminal da Comarca de Vieiras com a finalidade de ser ouvido Olinto Silva, notificando o Promotor de Justiça e o Defensor Público.&lt;br/&gt;Na Vara Criminal da Comarca de Vieiras, o juiz designou a audiência para oitiva de Olinto Silva, notificando somente o Ministério Público, não obstante haver Defensor Público na comarca.&lt;br/&gt;Realizada a oitiva de Olinto Silva, a deprecata foi devolvida ao Juízo da Vara Criminal da Comarca de Estoril.&lt;br/&gt;Recebida a carta precatória, o Dr. Roberto tomou ciência do seu cumprimento.&lt;br/&gt;Assinale a opção que apresenta a providência que o advogado de Joel deve tomar em sua defesa.&lt;br/&gt;&lt;/p&gt;",C,"&lt;p&gt;&lt;span style=""font-size: 13px;float: none;""&gt;Requerer ao Juízo da Vara Criminal da Comarca de Vieiras a declaração de nulidade da audiência de oitiva de Olinto Silva, em razão de ter ocorrido aquele ato processual sem que tenha sido intimado o Defensor Público.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",0
3855,34884,Processo Penal,"&lt;p&gt;Joel está sendo processado por crime de estelionato na Vara Criminal da Comarca de Estoril. Na peça de resposta à acusação, o Dr. Roberto, advogado de Joel, arrolou 03 (três) testemunhas. Dentre elas, estava Olinto Silva, residente na Comarca de Vieiras.&lt;br/&gt;O juízo da Vara Criminal da Comarca de Estoril determinou a expedição de carta precatória ao juízo da Vara Criminal da Comarca de Vieiras com a finalidade de ser ouvido Olinto Silva, notificando o Promotor de Justiça e o Defensor Público.&lt;br/&gt;Na Vara Criminal da Comarca de Vieiras, o juiz designou a audiência para oitiva de Olinto Silva, notificando somente o Ministério Público, não obstante haver Defensor Público na comarca.&lt;br/&gt;Realizada a oitiva de Olinto Silva, a deprecata foi devolvida ao Juízo da Vara Criminal da Comarca de Estoril.&lt;br/&gt;Recebida a carta precatória, o Dr. Roberto tomou ciência do seu cumprimento.&lt;br/&gt;Assinale a opção que apresenta a providência que o advogado de Joel deve tomar em sua defesa.&lt;br/&gt;&lt;/p&gt;",D,"&lt;p&gt;&lt;span style=""font-size: 13px;float: none;""&gt;Requerer ao Juízo da Vara Criminal da Comarca de Estoril a declaração de nulidade do processo a partir da expedição da carta precatória ao Juízo da Vara Criminal da Comarca de Vieiras, como também a dos atos que dela diretamente dependessem ou fossem consequência, haja vista que, como advogado de Joel, não foi intimado da remessa da referida carta ao juízo deprecado.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",1
3855,41471,Civil,"&lt;p&gt;&lt;span style=\""font-size: 13px;float: none;\""&gt;A Associação Atlética de uma renomada instituição de ensino jurídico brasileira, que possui mais de seiscentos associados, publica edital em seu site e, também, nas redes sociais, de convocação para uma Assembleia Geral, a ser realizada por meio eletrônico, trinta dias após a publicação, tendo como pauta a aprovação das contas dos diretores relativas ao exercício financeiro anterior e a alteração do estatuto.&lt;br/&gt;Diante da situação narrada, assinale a afirmativa correta.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",A,"&lt;p&gt;&lt;span style=""font-size: 13px;float: none;""&gt;A convocação de Assembleia Geral feita pela Associação Atlética apresenta um vício formal que conduz à nulidade absoluta, haja vista a impossibilidade da realização de Assembleia Geral por meio eletrônico.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",0
3855,41471,Civil,"&lt;p&gt;&lt;span style=\""font-size: 13px;float: none;\""&gt;A Associação Atlética de uma renomada instituição de ensino jurídico brasileira, que possui mais de seiscentos associados, publica edital em seu site e, também, nas redes sociais, de convocação para uma Assembleia Geral, a ser realizada por meio eletrônico, trinta dias após a publicação, tendo como pauta a aprovação das contas dos diretores relativas ao exercício financeiro anterior e a alteração do estatuto.&lt;br/&gt;Diante da situação narrada, assinale a afirmativa correta.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",B,"&lt;p&gt;&lt;span style=""font-size: 13px;float: none;""&gt;A realização de Assembleia Geral por meio eletrônico é possível juridicamente, desde que respeitada a participação e a manifestação dos associados, salvo para alteração estatutária, que deverá ser feita por reunião presencial, de modo que o edital da Associação Atlética é nulo, admitindo-se a conversão.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",0
3855,41471,Civil,"&lt;p&gt;&lt;span style=\""font-size: 13px;float: none;\""&gt;A Associação Atlética de uma renomada instituição de ensino jurídico brasileira, que possui mais de seiscentos associados, publica edital em seu site e, também, nas redes sociais, de convocação para uma Assembleia Geral, a ser realizada por meio eletrônico, trinta dias após a publicação, tendo como pauta a aprovação das contas dos diretores relativas ao exercício financeiro anterior e a alteração do estatuto.&lt;br/&gt;Diante da situação narrada, assinale a afirmativa correta.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",C,"&lt;p&gt;&lt;span style=""font-size: 13px;float: none;""&gt; A realização de Assembleia Geral por meio eletrônico é válida, desde que garantida a participação e a manifestação dos associados, além do respeito às normas estatutárias, inclusive, para a finalidade de alteração dos estatutos.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",1
3855,41471,Civil,"&lt;p&gt;&lt;span style=\""font-size: 13px;float: none;\""&gt;A Associação Atlética de uma renomada instituição de ensino jurídico brasileira, que possui mais de seiscentos associados, publica edital em seu site e, também, nas redes sociais, de convocação para uma Assembleia Geral, a ser realizada por meio eletrônico, trinta dias após a publicação, tendo como pauta a aprovação das contas dos diretores relativas ao exercício financeiro anterior e a alteração do estatuto.&lt;br/&gt;Diante da situação narrada, assinale a afirmativa correta.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",D,"&lt;p&gt;&lt;span style=""font-size: 13px;float: none;""&gt; A realização de Assembleia Geral por meio eletrônico é anulável, por falta de previsão legal, admitindo-se, por conseguinte, a convalidação.&lt;/span&gt;&lt;br style=""font-size: 13px;""/&gt;&lt;!--EndFragment--&gt;&lt;br/&gt;&lt;br/&gt;&lt;/p&gt;",0
3855,45704,Ética Profissional,"&lt;p&gt;Teresa Silva, advogada atuante na área criminal, tem como clientes Luiz, acusado de tráfico ilícito de drogas, e Roberto, acusado de crimes contra o sistema financeiro nacional. Após serem proferidas decisões judiciais que determinam o bloqueio universal dos patrimônios de Luiz e Roberto, Teresa se indaga a respeito dos meios disponíveis para obter os valores necessários ao reembolso de gastos com a defesa e ao recebimento de honorários desses clientes. Sobre esse assunto, é correto concluir que&lt;br/&gt;&lt;/p&gt;",A,"&lt;p&gt;&lt;span style=""font-size: 12px;float: none;""&gt;garantir-se-á a Teresa a liberação de 20% (vinte por cento) dos &lt;/span&gt;&lt;span style=""font-size: 12px;float: none;""&gt;bens bloqueados de Luiz para o fim de reembolso de gastos &lt;/span&gt;&lt;span style=""font-size: 12px;float: none;""&gt;com a defesa, vedado o recebimento de honorários.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",0
3855,45704,Ética Profissional,"&lt;p&gt;Teresa Silva, advogada atuante na área criminal, tem como clientes Luiz, acusado de tráfico ilícito de drogas, e Roberto, acusado de crimes contra o sistema financeiro nacional. Após serem proferidas decisões judiciais que determinam o bloqueio universal dos patrimônios de Luiz e Roberto, Teresa se indaga a respeito dos meios disponíveis para obter os valores necessários ao reembolso de gastos com a defesa e ao recebimento de honorários desses clientes. Sobre esse assunto, é correto concluir que&lt;br/&gt;&lt;/p&gt;",B,"&lt;p&gt;&lt;span style=""font-size: 12px;float: none;""&gt;garantir-se-á a Teresa a liberação de 20% (vinte por cento) dos &lt;/span&gt;&lt;span style=""font-size: 12px;float: none;""&gt;bens bloqueados de Roberto para o fim de reembolso de &lt;/span&gt;&lt;span style=""font-size: 12px;float: none;""&gt;gastos com a defesa e o recebimento de honorários.&lt;/span&gt;&lt;br/&gt;&lt;/p&gt;",1
